Date,Symbol,Side,Price,Quantity,Fee,Realized P&L
2024-01-01 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-02 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-03 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-04 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-05 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-06 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-07 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-08 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-09 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-10 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-11 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-12 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-13 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-14 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-15 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-16 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-17 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-18 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-19 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-20 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-21 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-22 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-23 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-24 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-25 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-26 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-27 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-28 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-29 04:30,BTCUSDT,Long,50000,0.1,2,-150
2024-01-30 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-01-31 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-02-01 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-02-02 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-02-03 04:30,BTCUSDT,Long,50000,0.1,2,500
2024-02-04 04:30,BTCUSDT,Long,50000,0.1,2,500
